Using cuda device
Logging to ./ppo_marl_tb/PPO_18
---------------------------------
| rollout/           |          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -162         |
| time/                   |              |
|    fps                  | 507          |
|    iterations           | 49           |
|    time_elapsed         | 57           |
|    total_timesteps      | 29400        |
| train/                  |              |
|    approx_kl            | 0.0022882647 |
|    clip_fraction        | 0.0289       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.23        |
|    explained_variance   | 0.606        |
|    learning_rate        | 0.0003       |
|    loss                 | 132          |
|    n_updates            | 480          |
|    policy_gradient_loss | -0.00992     |
|    value_loss           | 220          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -169         |
| time/                   |              |
|    fps                  | 508          |
|    iterations           | 50           |
|    time_elapsed         | 59           |
|    total_timesteps      | 30000        |
| train/                  |              |
|    approx_kl            | 0.0019047555 |
|    clip_fraction        | 0.00766      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.22        |
|    explained_variance   | 0.717        |
|    learning_rate        | 0.0003       |
|    loss                 | 40.4         |
|    n_updates            | 490          |
|    policy_gradient_loss | -0.00544     |
|    value_loss           | 122          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -169         |
| time/                   |              |
|    fps                  | 508          |
|    iterations           | 51           |
|    time_elapsed         | 60           |
|    total_timesteps      | 30600        |
| train/                  |              |
|    approx_kl            | 0.0038427867 |
|    clip_fraction        | 0.0149       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.18        |
|    explained_variance   | 0.667        |
|    learning_rate        | 0.0003       |
|    loss                 | 111          |
|    n_updates            | 500          |
|    policy_gradient_loss | -0.00506     |
|    value_loss           | 213          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -168        |
| time/                   |             |
|    fps                  | 509         |
|    iterations           | 52          |
|    time_elapsed         | 61          |
|    total_timesteps      | 31200       |
| train/                  |             |
|    approx_kl            | 0.006748145 |
|    clip_fraction        | 0.0214      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.26       |
|    explained_variance   | 0.868       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.27        |
|    n_updates            | 510         |
|    policy_gradient_loss | -0.00512    |
|    value_loss           | 44.5        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -171         |
| time/                   |              |
|    fps                  | 509          |
|    iterations           | 53           |
|    time_elapsed         | 62           |
|    total_timesteps      | 31800        |
| train/                  |              |
|    approx_kl            | 0.0073572583 |
|    clip_fraction        | 0.062        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.15        |
|    explained_variance   | 0.739        |
|    learning_rate        | 0.0003       |
|    loss                 | 29.6         |
|    n_updates            | 520          |
|    policy_gradient_loss | -0.00851     |
|    value_loss           | 91.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -173        |
| time/                   |             |
|    fps                  | 509         |
|    iterations           | 54          |
|    time_elapsed         | 63          |
|    total_timesteps      | 32400       |
| train/                  |             |
|    approx_kl            | 0.016268872 |
|    clip_fraction        | 0.0967      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.21       |
|    explained_variance   | 0.474       |
|    learning_rate        | 0.0003      |
|    loss                 | 15.8        |
|    n_updates            | 530         |
|    policy_gradient_loss | -0.00787    |
|    value_loss           | 119         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -177         |
| time/                   |              |
|    fps                  | 509          |
|    iterations           | 55           |
|    time_elapsed         | 64           |
|    total_timesteps      | 33000        |
| train/                  |              |
|    approx_kl            | 0.0044423407 |
|    clip_fraction        | 0.0236       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.23        |
|    explained_variance   | 0.664        |
|    learning_rate        | 0.0003       |
|    loss                 | 22.7         |
|    n_updates            | 540          |
|    policy_gradient_loss | -0.00747     |
|    value_loss           | 114          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -174         |
| time/                   |              |
|    fps                  | 508          |
|    iterations           | 56           |
|    time_elapsed         | 66           |
|    total_timesteps      | 33600        |
| train/                  |              |
|    approx_kl            | 0.0036947918 |
|    clip_fraction        | 0.0197       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.23        |
|    explained_variance   | 0.826        |
|    learning_rate        | 0.0003       |
|    loss                 | 15.1         |
|    n_updates            | 550          |
|    policy_gradient_loss | -0.00823     |
|    value_loss           | 91.6         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -174        |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 57          |
|    time_elapsed         | 67          |
|    total_timesteps      | 34200       |
| train/                  |             |
|    approx_kl            | 0.004644214 |
|    clip_fraction        | 0.0415      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.27       |
|    explained_variance   | 0.829       |
|    learning_rate        | 0.0003      |
|    loss                 | 59.5        |
|    n_updates            | 560         |
|    policy_gradient_loss | -0.00824    |
|    value_loss           | 121         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -171         |
| time/                   |              |
|    fps                  | 506          |
|    iterations           | 58           |
|    time_elapsed         | 68           |
|    total_timesteps      | 34800        |
| train/                  |              |
|    approx_kl            | 0.0065780855 |
|    clip_fraction        | 0.0663       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.21        |
|    explained_variance   | 0.685        |
|    learning_rate        | 0.0003       |
|    loss                 | 19.5         |
|    n_updates            | 570          |
|    policy_gradient_loss | -0.0117      |
|    value_loss           | 78.3         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -167       |
| time/                   |            |
|    fps                  | 506        |
|    iterations           | 59         |
|    time_elapsed         | 69         |
|    total_timesteps      | 35400      |
| train/                  |            |
|    approx_kl            | 0.00552018 |
|    clip_fraction        | 0.0294     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.28      |
|    explained_variance   | 0.815      |
|    learning_rate        | 0.0003     |
|    loss                 | 40.5       |
|    n_updates            | 580        |
|    policy_gradient_loss | -0.00509   |
|    value_loss           | 59.9       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -163        |
| time/                   |             |
|    fps                  | 505         |
|    iterations           | 60          |
|    time_elapsed         | 71          |
|    total_timesteps      | 36000       |
| train/                  |             |
|    approx_kl            | 0.013229345 |
|    clip_fraction        | 0.0665      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.16       |
|    explained_variance   | 0.725       |
|    learning_rate        | 0.0003      |
|    loss                 | 19.4        |
|    n_updates            | 590         |
|    policy_gradient_loss | -0.00947    |
|    value_loss           | 76.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -158        |
| time/                   |             |
|    fps                  | 505         |
|    iterations           | 61          |
|    time_elapsed         | 72          |
|    total_timesteps      | 36600       |
| train/                  |             |
|    approx_kl            | 0.011542417 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.13       |
|    explained_variance   | 0.837       |
|    learning_rate        | 0.0003      |
|    loss                 | 23.1        |
|    n_updates            | 600         |
|    policy_gradient_loss | -0.0129     |
|    value_loss           | 47.8        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -155         |
| time/                   |              |
|    fps                  | 505          |
|    iterations           | 62           |
|    time_elapsed         | 73           |
|    total_timesteps      | 37200        |
| train/                  |              |
|    approx_kl            | 0.0042214296 |
|    clip_fraction        | 0.0115       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.25        |
|    explained_variance   | 0.637        |
|    learning_rate        | 0.0003       |
|    loss                 | 47           |
|    n_updates            | 610          |
|    policy_gradient_loss | -0.00603     |
|    value_loss           | 98.2         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -152        |
| time/                   |             |
|    fps                  | 504         |
|    iterations           | 63          |
|    time_elapsed         | 74          |
|    total_timesteps      | 37800       |
| train/                  |             |
|    approx_kl            | 0.009616172 |
|    clip_fraction        | 0.0335      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.24       |
|    explained_variance   | 0.649       |
|    learning_rate        | 0.0003      |
|    loss                 | 13.7        |
|    n_updates            | 620         |
|    policy_gradient_loss | -0.00758    |
|    value_loss           | 75.5        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -150         |
| time/                   |              |
|    fps                  | 504          |
|    iterations           | 64           |
|    time_elapsed         | 76           |
|    total_timesteps      | 38400        |
| train/                  |              |
|    approx_kl            | 0.0070266025 |
|    clip_fraction        | 0.0531       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | 0.882        |
|    learning_rate        | 0.0003       |
|    loss                 | 6.83         |
|    n_updates            | 630          |
|    policy_gradient_loss | -0.00885     |
|    value_loss           | 34.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -145        |
| time/                   |             |
|    fps                  | 504         |
|    iterations           | 65          |
|    time_elapsed         | 77          |
|    total_timesteps      | 39000       |
| train/                  |             |
|    approx_kl            | 0.006338085 |
|    clip_fraction        | 0.0553      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.12       |
|    explained_variance   | 0.782       |
|    learning_rate        | 0.0003      |
|    loss                 | 28.9        |
|    n_updates            | 640         |
|    policy_gradient_loss | -0.00932    |
|    value_loss           | 65.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -147        |
| time/                   |             |
|    fps                  | 504         |
|    iterations           | 66          |
|    time_elapsed         | 78          |
|    total_timesteps      | 39600       |
| train/                  |             |
|    approx_kl            | 0.007689434 |
|    clip_fraction        | 0.0405      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | 0.77        |
|    learning_rate        | 0.0003      |
|    loss                 | 11.5        |
|    n_updates            | 650         |
|    policy_gradient_loss | -0.00684    |
|    value_loss           | 38.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -144        |
| time/                   |             |
|    fps                  | 503         |
|    iterations           | 67          |
|    time_elapsed         | 79          |
|    total_timesteps      | 40200       |
| train/                  |             |
|    approx_kl            | 0.004194042 |
|    clip_fraction        | 0.0301      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | 0.361       |
|    learning_rate        | 0.0003      |
|    loss                 | 26          |
|    n_updates            | 660         |
|    policy_gradient_loss | -0.00368    |
|    value_loss           | 120         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -146        |
| time/                   |             |
|    fps                  | 502         |
|    iterations           | 68          |
|    time_elapsed         | 81          |
|    total_timesteps      | 40800       |
| train/                  |             |
|    approx_kl            | 0.009368366 |
|    clip_fraction        | 0.043       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.13       |
|    explained_variance   | 0.718       |
|    learning_rate        | 0.0003      |
|    loss                 | 30.8        |
|    n_updates            | 670         |
|    policy_gradient_loss | -0.00947    |
|    value_loss           | 53.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -151        |
| time/                   |             |
|    fps                  | 502         |
|    iterations           | 69          |
|    time_elapsed         | 82          |
|    total_timesteps      | 41400       |
| train/                  |             |
|    approx_kl            | 0.009198914 |
|    clip_fraction        | 0.0497      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.11       |
|    explained_variance   | 0.573       |
|    learning_rate        | 0.0003      |
|    loss                 | 28.9        |
|    n_updates            | 680         |
|    policy_gradient_loss | -0.0082     |
|    value_loss           | 83.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -156        |
| time/                   |             |
|    fps                  | 501         |
|    iterations           | 70          |
|    time_elapsed         | 83          |
|    total_timesteps      | 42000       |
| train/                  |             |
|    approx_kl            | 0.005881803 |
|    clip_fraction        | 0.0338      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.11       |
|    explained_variance   | 0.4         |
|    learning_rate        | 0.0003      |
|    loss                 | 50.2        |
|    n_updates            | 690         |
|    policy_gradient_loss | -0.00527    |
|    value_loss           | 114         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -158        |
| time/                   |             |
|    fps                  | 500         |
|    iterations           | 71          |
|    time_elapsed         | 85          |
|    total_timesteps      | 42600       |
| train/                  |             |
|    approx_kl            | 0.005223342 |
|    clip_fraction        | 0.0146      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.11       |
|    explained_variance   | 0.705       |
|    learning_rate        | 0.0003      |
|    loss                 | 46.9        |
|    n_updates            | 700         |
|    policy_gradient_loss | -0.00286    |
|    value_loss           | 254         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -162         |
| time/                   |              |
|    fps                  | 501          |
|    iterations           | 72           |
|    time_elapsed         | 86           |
|    total_timesteps      | 43200        |
| train/                  |              |
|    approx_kl            | 0.0020331214 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.11        |
|    explained_variance   | 0.345        |
|    learning_rate        | 0.0003       |
|    loss                 | 67.3         |
|    n_updates            | 710          |
|    policy_gradient_loss | -0.000789    |
|    value_loss           | 249          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -162         |
| time/                   |              |
|    fps                  | 501          |
|    iterations           | 73           |
|    time_elapsed         | 87           |
|    total_timesteps      | 43800        |
| train/                  |              |
|    approx_kl            | 0.0034551404 |
|    clip_fraction        | 0.0138       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.14        |
|    explained_variance   | 0.754        |
|    learning_rate        | 0.0003       |
|    loss                 | 59.4         |
|    n_updates            | 720          |
|    policy_gradient_loss | -0.00573     |
|    value_loss           | 134          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -168         |
| time/                   |              |
|    fps                  | 501          |
|    iterations           | 74           |
|    time_elapsed         | 88           |
|    total_timesteps      | 44400        |
| train/                  |              |
|    approx_kl            | 0.0026848395 |
|    clip_fraction        | 0.0182       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 0.765        |
|    learning_rate        | 0.0003       |
|    loss                 | 20.4         |
|    n_updates            | 730          |
|    policy_gradient_loss | -0.00302     |
|    value_loss           | 94.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -173         |
| time/                   |              |
|    fps                  | 501          |
|    iterations           | 75           |
|    time_elapsed         | 89           |
|    total_timesteps      | 45000        |
| train/                  |              |
|    approx_kl            | 0.0019122086 |
|    clip_fraction        | 0.00599      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1           |
|    explained_variance   | 0.689        |
|    learning_rate        | 0.0003       |
|    loss                 | 17.5         |
|    n_updates            | 740          |
|    policy_gradient_loss | -0.00205     |
|    value_loss           | 179          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -178        |
| time/                   |             |
|    fps                  | 501         |
|    iterations           | 76          |
|    time_elapsed         | 91          |
|    total_timesteps      | 45600       |
| train/                  |             |
|    approx_kl            | 0.004774631 |
|    clip_fraction        | 0.0317      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.789       |
|    learning_rate        | 0.0003      |
|    loss                 | 38.7        |
|    n_updates            | 750         |
|    policy_gradient_loss | -0.00514    |
|    value_loss           | 107         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -188        |
| time/                   |             |
|    fps                  | 501         |
|    iterations           | 77          |
|    time_elapsed         | 92          |
|    total_timesteps      | 46200       |
| train/                  |             |
|    approx_kl            | 0.002619553 |
|    clip_fraction        | 0.0155      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.682       |
|    learning_rate        | 0.0003      |
|    loss                 | 85.3        |
|    n_updates            | 760         |
|    policy_gradient_loss | -0.00532    |
|    value_loss           | 227         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -198         |
| time/                   |              |
|    fps                  | 500          |
|    iterations           | 78           |
|    time_elapsed         | 93           |
|    total_timesteps      | 46800        |
| train/                  |              |
|    approx_kl            | 0.0023804514 |
|    clip_fraction        | 0.0134       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 0.581        |
|    learning_rate        | 0.0003       |
|    loss                 | 49.7         |
|    n_updates            | 770          |
|    policy_gradient_loss | -0.00334     |
|    value_loss           | 168          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -208         |
| time/                   |              |
|    fps                  | 499          |
|    iterations           | 79           |
|    time_elapsed         | 94           |
|    total_timesteps      | 47400        |
| train/                  |              |
|    approx_kl            | 0.0022806341 |
|    clip_fraction        | 0.0103       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.931       |
|    explained_variance   | 0.712        |
|    learning_rate        | 0.0003       |
|    loss                 | 40.7         |
|    n_updates            | 780          |
|    policy_gradient_loss | -0.00458     |
|    value_loss           | 268          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -222         |
| time/                   |              |
|    fps                  | 498          |
|    iterations           | 80           |
|    time_elapsed         | 96           |
|    total_timesteps      | 48000        |
| train/                  |              |
|    approx_kl            | 0.0013435648 |
|    clip_fraction        | 0.0037       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.949       |
|    explained_variance   | 0.47         |
|    learning_rate        | 0.0003       |
|    loss                 | 115          |
|    n_updates            | 790          |
|    policy_gradient_loss | -0.00155     |
|    value_loss           | 389          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -229         |
| time/                   |              |
|    fps                  | 498          |
|    iterations           | 81           |
|    time_elapsed         | 97           |
|    total_timesteps      | 48600        |
| train/                  |              |
|    approx_kl            | 0.0022270025 |
|    clip_fraction        | 0.00391      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.93        |
|    explained_variance   | 0.507        |
|    learning_rate        | 0.0003       |
|    loss                 | 180          |
|    n_updates            | 800          |
|    policy_gradient_loss | -0.00276     |
|    value_loss           | 452          |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -237       |
| time/                   |            |
|    fps                  | 498        |
|    iterations           | 82         |
|    time_elapsed         | 98         |
|    total_timesteps      | 49200      |
| train/                  |            |
|    approx_kl            | 0.00673839 |
|    clip_fraction        | 0.0541     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.895     |
|    explained_variance   | 0.878      |
|    learning_rate        | 0.0003     |
|    loss                 | 32.7       |
|    n_updates            | 810        |
|    policy_gradient_loss | -0.00614   |
|    value_loss           | 210        |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -242         |
| time/                   |              |
|    fps                  | 498          |
|    iterations           | 83           |
|    time_elapsed         | 99           |
|    total_timesteps      | 49800        |
| train/                  |              |
|    approx_kl            | 0.0029353462 |
|    clip_fraction        | 0.0142       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.908       |
|    explained_variance   | 0.763        |
|    learning_rate        | 0.0003       |
|    loss                 | 52.7         |
|    n_updates            | 820          |
|    policy_gradient_loss | -0.00194     |
|    value_loss           | 281          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -247         |
| time/                   |              |
|    fps                  | 498          |
|    iterations           | 84           |
|    time_elapsed         | 101          |
|    total_timesteps      | 50400        |
| train/                  |              |
|    approx_kl            | 0.0017152906 |
|    clip_fraction        | 0.00359      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.957       |
|    explained_variance   | 0.643        |
|    learning_rate        | 0.0003       |
|    loss                 | 148          |
|    n_updates            | 830          |
|    policy_gradient_loss | -0.00178     |
|    value_loss           | 431          |
------------------------------------------
